kode_provinsi,nama_provinsi,kode_kota,nama_kota,nilai,satuan,tahun,source_file,usia_kelompok,pendidikan,kode_kecamatan,metric,usia_min,usia_max,usia_mid,usia_label_std,pendidikan_level_ord,nama_kecamatan,daerah,usia_group
32,Jawa Barat,3216,Kabupaten Bekasi,142818.0,ORANG,2024,data1.csv,,ALL,,jumlah_pengangguran_terbuka_total,,,,,,,Kabupaten Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,1995.0,Orang,2022,data2.csv,USIA < 30,ALL,,jumlah_by_usia,,29.0,14.5,<30,,,Kota Bekasi,<30
32,Jawa Barat,3275,Kota Bekasi,2420.0,Orang,2022,data2.csv,USIA 30 - 40,ALL,,jumlah_by_usia,30.0,40.0,35.0,30-40,,,Kota Bekasi,30-40
32,Jawa Barat,3275,Kota Bekasi,366.0,Orang,2022,data2.csv,USIA 40 - 50,ALL,,jumlah_by_usia,40.0,50.0,45.0,40-50,,,Kota Bekasi,40-50
32,Jawa Barat,3275,Kota Bekasi,1.0,Orang,2022,data2.csv,USIA > 50,ALL,,jumlah_by_usia,50.0,50.0,50.0,50,,,Kota Bekasi,50
32,Jawa Barat,3275,Kota Bekasi,60772.0,-,2022,data3.csv,,Tidak Bersekolah,,jumlah_by_pendidikan,,,,,0.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,151663.0,-,2022,data3.csv,,Tamatan SD,,jumlah_by_pendidikan,,,,,1.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,181224.0,-,2022,data3.csv,,Tamatan SMP,,jumlah_by_pendidikan,,,,,2.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,495595.0,-,2022,data3.csv,,Tamatan SMA,,jumlah_by_pendidikan,,,,,3.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,377437.0,-,2022,data3.csv,,Tamatan Diploma I & II,,jumlah_by_pendidikan,,,,,4.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,0.0,-,2022,data3.csv,,Tamatan Diploma III,,jumlah_by_pendidikan,,,,,4.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,0.0,-,2022,data3.csv,,Tamatan S1,,jumlah_by_pendidikan,,,,,5.0,,Kota Bekasi,ALL
32,Jawa Barat,3275,Kota Bekasi,0.0,-,2022,data3.csv,,Tamatan S2,,jumlah_by_pendidikan,,,,,6.0,,Kota Bekasi,ALL
