id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah,satuan,tahun
1,32,JAWA BARAT,3275,KOTA BEKASI,3275040,BEKASI TIMUR,32.75.01,BEKASI TIMUR,15671,-,2022
2,32,JAWA BARAT,3275,KOTA BEKASI,3275060,BEKASI BARAT,32.75.02,BEKASI BARAT,15207,-,2022
3,32,JAWA BARAT,3275,KOTA BEKASI,3275070,BEKASI UTARA,32.75.03,BEKASI UTARA,19944,-,2022
4,32,JAWA BARAT,3275,KOTA BEKASI,3275050,BEKASI SELATAN,32.75.04,BEKASI SELATAN,9826,-,2022
5,32,JAWA BARAT,3275,KOTA BEKASI,3275041,RAWALUMBU,32.75.05,RAWALUMBU,9289,-,2022
6,32,JAWA BARAT,3275,KOTA BEKASI,3275061,MEDAN SATRIA,32.75.06,MEDANSATRIA,7754,-,2022
7,32,JAWA BARAT,3275,KOTA BEKASI,3275030,BANTARGEBANG,32.75.07,BANTARGEBANG,5877,-,2022
8,32,JAWA BARAT,3275,KOTA BEKASI,3275010,PONDOKGEDE,32.75.08,PONDOKGEDE,13259,-,2022
9,32,JAWA BARAT,3275,KOTA BEKASI,3275020,JATIASIH,32.75.09,JATIASIH,14215,-,2022
10,32,JAWA BARAT,3275,KOTA BEKASI,3275011,JATISAMPURNA,32.75.10,JATISAMPURNA,5571,-,2022
11,32,JAWA BARAT,3275,KOTA BEKASI,3275031,MUSTIKAJAYA,32.75.11,MUSTIKAJAYA,10410,-,2022
12,32,JAWA BARAT,3275,KOTA BEKASI,3275012,PONDOKMELATI,32.75.12,PONDOKMELATI,8293,-,2022
13,32,JAWA BARAT,3275,KOTA BEKASI,3275030,BANTARGEBANG,32.75.07,BANTARGEBANG,2001,Orang,2023
14,32,JAWA BARAT,3275,KOTA BEKASI,3275031,MUSTIKAJAYA,32.75.11,MUSTIKAJAYA,27916,Orang,2023
15,32,JAWA BARAT,3275,KOTA BEKASI,3275040,BEKASI TIMUR,32.75.01,BEKASI TIMUR,4909,Orang,2023
16,32,JAWA BARAT,3275,KOTA BEKASI,3275060,BEKASI BARAT,32.75.02,BEKASI BARAT,15689,Orang,2023
17,32,JAWA BARAT,3275,KOTA BEKASI,3275061,MEDAN SATRIA,32.75.06,MEDANSATRIA,5886,Orang,2023
18,32,JAWA BARAT,3275,KOTA BEKASI,3275011,JATISAMPURNA,32.75.10,JATISAMPURNA,3070,Orang,2023
19,32,JAWA BARAT,3275,KOTA BEKASI,3275041,RAWALUMBU,32.75.05,RAWALUMBU,28753,Orang,2023
20,32,JAWA BARAT,3275,KOTA BEKASI,3275050,BEKASI SELATAN,32.75.04,BEKASI SELATAN,2247,Orang,2023
21,32,JAWA BARAT,3275,KOTA BEKASI,3275070,BEKASI UTARA,32.75.03,BEKASI UTARA,31859,Orang,2023
22,32,JAWA BARAT,3275,KOTA BEKASI,3275010,PONDOKGEDE,32.75.08,PONDOKGEDE,4235,Orang,2023
23,32,JAWA BARAT,3275,KOTA BEKASI,3275012,PONDOKMELATI,32.75.12,PONDOKMELATI,5046,Orang,2023
24,32,JAWA BARAT,3275,KOTA BEKASI,3275020,JATIASIH,32.75.09,JATIASIH,4648,Orang,2023
