id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,golongan_umur,jumlah,satuan,tahun
1,32,JAWA BARAT,3275,KOTA BEKASI,15-19,2280,Orang,2022
2,32,JAWA BARAT,3275,KOTA BEKASI,20-24,15978,Orang,2022
3,32,JAWA BARAT,3275,KOTA BEKASI,25-29,24963,Orang,2022
4,32,JAWA BARAT,3275,KOTA BEKASI,30-34,1995,Orang,2022
5,32,JAWA BARAT,3275,KOTA BEKASI,35-39,60,Orang,2022
6,32,JAWA BARAT,3275,KOTA BEKASI,40-44,335,Orang,2022
7,32,JAWA BARAT,3275,KOTA BEKASI,45-49,30,Orang,2022
8,32,JAWA BARAT,3275,KOTA BEKASI,50-54,1,Orang,2022
9,32,JAWA BARAT,3275,KOTA BEKASI,55-59,483,Orang,2022
10,32,JAWA BARAT,3275,KOTA BEKASI,60-64,23,Orang,2022
